date,total_trades,total_wins,total_losses,total_profit,total_loss,net_pnl
2026-02-01,26,12,14,31.890000000000004,-58.94,-27.05
2026-02-02,7,4,3,27.790000000000003,-20.41,7.380000000000001
2026-02-04,28,13,15,82.17999999999999,-95.27,-13.089999999999998
2026-02-05,1,0,1,0.0,-11.84,-11.84
2026-02-06,20,9,11,98.09,-73.27,24.819999999999993
2026-02-07,3,1,2,6.6899999999999995,-7.44,-0.7500000000000009
