date,total_trades,total_wins,total_losses,total_profit,total_loss,net_pnl
2026-02-01,11,6,5,26.779999999999998,-15.7,11.079999999999998
2026-02-02,91,45,46,455.36999999999995,-646.2,-190.82999999999998
2026-02-03,86,46,40,333.00000000000006,-325.15,7.850000000000007
2026-02-04,34,18,16,117.00999999999999,-134.03,-17.01999999999999
2026-02-05,54,25,29,196.67000000000002,-163.07000000000002,33.599999999999994
