type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
sell,0.01,0.01,XAUUSD,4310.691,4308.776,4312.825,4308.23,-0.11,0,1.91,user,2025-12-31 18:03:23.428,2025-12-31 18:05:10.123
sell,0.01,0.01,XAUUSD,4307.922,4310.649,4310.649,,-0.11,0,-2.73,sl,2025-12-31 18:07:31.688,2025-12-31 18:08:44.664
buy,0.01,0.01,XAUUSD,4311.149,4308.924,4309.402,4317.085,-0.11,0,-2.23,sl,2025-12-31 18:09:16.497,2025-12-31 18:09:39.983
sell,0.02,0.02,XAUUSD,4309.262,4311.467,4311.467,4296.184,-0.22,0,-4.41,sl,2025-12-31 18:09:49.451,2025-12-31 18:11:56.570
buy,0.02,0.02,XAUUSD,4310.404,4308.393,4308.393,,-0.22,0,-4.02,sl,2025-12-31 18:12:13.483,2025-12-31 18:12:42.666
sell,0.03,0.03,XAUUSD,4309.12,4310.2,4311.134,4305.184,-0.33,0,-3.24,user,2025-12-31 18:13:27.129,2025-12-31 18:16:01.815
sell,0.01,0.02,XAUUSD,4307.996,4306.633,4315.084,4288.501,,0,1.37,user,2025-12-31 18:17:42.272,2025-12-31 18:23:35.341
sell,0.01,0.01,XAUUSD,4306.919,4306.598,4307.644,,-0.11,0,0.32,user,2025-12-31 18:28:40.510,2025-12-31 18:29:31.453
sell,0.01,0.01,XAUUSD,4303.613,4307.53,4307.53,,-0.11,0,-3.92,sl,2025-12-31 18:25:05.658,2025-12-31 18:29:52.268
sell,0.01,0.02,XAUUSD,4307.996,4309.571,4315.084,4288.501,-0.22,0,-1.57,user,2025-12-31 18:17:42.272,2025-12-31 18:30:56.026
buy,0.01,0.03,XAUUSD,4310.385,4310.859,4307.527,,,0,0.47,user,2025-12-31 18:31:21.847,2025-12-31 18:31:44.717
buy,0.02,0.03,XAUUSD,4310.385,4309.871,4307.527,,-0.33,0,-1.03,user,2025-12-31 18:31:21.847,2025-12-31 18:32:21.184
sell,0.01,0.03,XAUUSD,4308.455,4309.608,4311.473,4303.626,,0,-1.15,user,2025-12-31 18:33:09.132,2025-12-31 18:34:05.316
sell,0.02,0.03,XAUUSD,4308.455,4310.741,4311.473,4303.626,-0.33,0,-4.57,user,2025-12-31 18:33:09.132,2025-12-31 18:34:17.598
sell,0.02,0.02,XAUUSD,4312.988,4315.849,4315.359,,-0.22,0,-5.72,sl,2025-12-31 18:59:34.682,2025-12-31 19:00:15.725
sell,0.01,0.01,XAUUSD,4314.823,4315.425,4318.221,,-0.11,0,-0.61,user,2025-12-31 18:54:06.207,2025-12-31 19:02:05.365
sell,0.01,0.02,XAUUSD,4313.282,4309.363,4313.078,,,0,3.92,user,2025-12-31 19:04:37.763,2025-12-31 19:06:15.642
sell,0.01,0.02,XAUUSD,4313.282,4311.463,4313.078,,-0.22,0,1.82,user,2025-12-31 19:04:37.763,2025-12-31 19:07:26.169
sell,0.01,0.01,XAUUSD,4311.43,4310.031,4317.587,,-0.11,0,1.4,user,2025-12-31 19:10:29.516,2025-12-31 19:11:12.305
sell,0.01,0.01,XAUUSD,4311.455,4311.07,4313.221,4306.802,-0.11,0,0.39,user,2025-12-31 19:09:30.547,2025-12-31 19:11:52.269
sell,0.01,0.01,XAUUSD,4314.449,4316.842,4316.53,4308.774,-0.11,0,-2.39,sl,2025-12-31 19:17:41.133,2025-12-31 19:20:39.252
buy,0.01,0.03,XAUUSD,4316.743,4319.885,4319.668,4330.774,,0,3.15,user,2025-12-31 19:20:48.078,2025-12-31 19:21:49.557
buy,0.01,0.03,XAUUSD,4316.743,4320.4220000000005,4319.668,4330.774,,0,3.68,user,2025-12-31 19:20:48.078,2025-12-31 19:22:27.307
buy,0.01,0.03,XAUUSD,4316.743,4322.898,4319.668,4330.774,-0.33,0,6.16,user,2025-12-31 19:20:48.078,2025-12-31 19:23:39.140
buy,0.01,0.01,XAUUSD,4325.368,4325.6,4319.504,,-0.11,0,0.23,user,2025-12-31 19:26:06.650,2025-12-31 19:26:22.210
buy,0.01,0.01,XAUUSD,4325.128,4329.871,4325.967,4333.121,-0.11,0,4.74,user,2025-12-31 19:26:29.921,2025-12-31 19:32:04.483
buy,0.01,0.01,XAUUSD,4342.007,4339.845,4338.254,4349.676,-0.11,0,-2.16,user,2025-12-31 19:51:49.907,2025-12-31 19:52:09.474
buy,0.01,0.01,XAUUSD,4343.135,4343.918,4338.996,4349.273,-0.11,0,0.78,user,2025-12-31 19:53:46.468,2025-12-31 19:55:12.220
buy,0.01,0.01,XAUUSD,4345.154,4346.031,,,-0.11,0,0.88,user,2025-12-31 19:56:17.201,2025-12-31 19:56:51.825
buy,0.01,0.01,XAUUSD,4338.721,4344.133,4339.868,4348.176,-0.11,0,5.41,user,2025-12-31 20:08:10.650,2025-12-31 20:17:05.711
buy,0.01,0.01,XAUUSD,4339.525,4336.655,4336.655,,-0.11,0,-2.87,sl,2025-12-31 20:24:31.962,2025-12-31 20:25:15.748
sell,0.01,0.01,XAUUSD,4334.664,4340.486,4340.23,4314.27,-0.11,0,-5.83,sl,2025-12-31 20:26:42.210,2025-12-31 20:30:38.839
buy,0.01,0.02,XAUUSD,4342.719,4346.481,4342.38,4352.744,,0,3.76,user,2025-12-31 20:32:23.188,2025-12-31 20:33:02.259
buy,0.01,0.02,XAUUSD,4342.719,4342.38,4342.38,4352.744,-0.22,0,-0.34,sl,2025-12-31 20:32:23.188,2025-12-31 20:35:38.779
buy,0.01,0.01,XAUUSD,4337.702,4333.44,4333.44,4346.931,-0.11,0,-4.26,sl,2025-12-31 20:40:37.226,2025-12-31 20:41:24.559
buy,0.01,0.01,XAUUSD,4332.991,4334.11,,,-0.11,0,1.12,user,2025-12-31 20:41:25.567,2025-12-31 20:41:33.190
buy,0.02,0.02,XAUUSD,4334.412,4337.383,,,-0.22,0,5.95,user,2025-12-31 20:41:44.387,2025-12-31 20:41:59.996
buy,0.01,0.01,XAUUSD,4338.232,4344.189,4338.57,4346.807,-0.11,0,5.96,user,2025-12-31 20:42:53.233,2025-12-31 20:45:20.103
buy,0.01,0.01,XAUUSD,4348.846,4348.183,4343.047,4355.126,-0.11,0,-0.67,user,2025-12-31 20:47:28.852,2025-12-31 20:47:58.927
buy,0.01,0.01,XAUUSD,4345.481,4345.984,4342.882,,-0.11,0,0.5,user,2025-12-31 20:49:14.983,2025-12-31 20:50:20.170
buy,0.01,0.01,XAUUSD,4347.028,4343.934,4344.389,4355.291,-0.11,0,-3.1,sl,2026-01-02 06:07:06.625,2026-01-02 06:20:04.087
buy,0.01,0.01,XAUUSD,4346.522,4348.763,4343.465,4354.909,-0.11,0,2.24,user,2026-01-02 06:28:20.894,2026-01-02 06:39:59.871
buy,0.01,0.02,XAUUSD,4349.8,4349.701,4348.701,,,0,-0.1,user,2026-01-02 06:43:08.171,2026-01-02 06:43:24.796
buy,0.01,0.02,XAUUSD,4349.8,4351.217,4348.701,,-0.22,0,1.42,user,2026-01-02 06:43:08.171,2026-01-02 06:50:51.338
buy,0.01,0.01,XAUUSD,4352.002,4353.476,4348.571,,-0.11,0,1.48,user,2026-01-02 06:51:53.713,2026-01-02 07:01:29.393
buy,0.01,0.01,XAUUSD,4349.828,4348.45,4346.387,4354.782,-0.11,0,-1.38,user,2026-01-02 07:11:50.359,2026-01-02 07:14:10.629
buy,0.01,0.01,XAUUSD,4349.202,4347.928,4346.387,,-0.11,0,-1.27,user,2026-01-02 07:20:11.322,2026-01-02 07:20:53.874
