Month,Weekday,Total_Movement_Pips,Rank
December,Tuesday,27539.990234375,1
December,Monday,27420.01953125,2
December,Wednesday,24599.951171875,3
December,Friday,22179.98046875,4
December,Thursday,12929.98046875,5
