Month,Weekday,Total_Movement_Pips,Rank
January,Thursday,14570.0439453125,1
January,Friday,14560.009765625,2
January,Monday,9209.9853515625,3
January,Tuesday,8100.0,4
January,Wednesday,6039.990234375,5
