Month,Weekday,Total_Movement_Pips,Rank
May,Thursday,41250.0244140625,1
May,Tuesday,23239.9658203125,2
May,Friday,20990.0390625,3
May,Monday,18439.990234375,4
May,Wednesday,14260.009765625,5
