Month,Weekday,Total_Movement_Pips,Rank
April,Wednesday,43719.9951171875,1
April,Thursday,31599.9755859375,2
April,Tuesday,26030.029296875,3
April,Monday,25970.01953125,4
April,Friday,25899.9755859375,5
