Month,Weekday,Total_Movement_Pips,Rank
June,Monday,26790.0146484375,1
June,Friday,19179.98046875,2
June,Tuesday,18019.9951171875,3
June,Wednesday,11809.9609375,4
June,Thursday,9990.0146484375,5
